Timestamp,Temperature_C,Vibration_g,Axis1_deg,Axis2_deg,Axis3_deg
2025-11-17 09:00:15,27.0,0.042,37.9,,1.1
2025-11-17 09:00:20,30.2,,,16.0,
2025-11-17 09:00:35,34.8,0.038,,34.4,0.6
2025-11-17 09:00:50,32.1,,,4.8,
2025-11-17 09:01:00,30.4,0.24,68.0,,-6.3
2025-11-17 09:01:40,,0.272,81.1,,
2025-11-17 09:01:45,26.6,,107.3,,2.4
2025-11-17 09:01:55,40.6,0.014,95.9,8.4,-6.8
2025-11-17 09:02:10,,0.115,,38.8,-1.6
2025-11-17 09:02:20,,,109.4,40.5,
2025-11-17 09:02:50,39.0,0.127,42.7,,-5.3
2025-11-17 09:03:10,37.6,,,,
2025-11-17 09:03:25,,0.197,,,
2025-11-17 09:03:40,,0.149,13.1,,4.9
2025-11-17 09:03:55,,0.237,,,
2025-11-17 09:04:10,,,,33.6,5.2
2025-11-17 09:04:25,38.0,,60.3,7.5,
2025-11-17 09:04:30,,0.046,,,
2025-11-17 09:04:45,41.1,0.159,88.2,,
2025-11-17 09:04:55,,,71.1,7.3,
2025-11-17 09:05:05,,0.148,0.9,,
2025-11-17 09:05:25,37.0,,26.8,,
2025-11-17 09:05:45,,0.172,,38.8,
2025-11-17 09:06:25,,0.173,50.4,36.4,-1.9
2025-11-17 09:06:35,,,59.4,27.8,
2025-11-17 09:06:40,43.9,0.14,,1.5,-5.6
2025-11-17 09:07:20,,,,,7.8
2025-11-17 09:07:30,,,,29.1,-3.1
2025-11-17 09:07:40,,0.256,,6.5,
2025-11-17 09:08:00,40.8,,17.1,,-9.0
2025-11-17 09:08:20,,,,41.1,-4.5
2025-11-17 09:08:40,,0.213,4.9,,12.8
2025-11-17 09:09:20,,0.27,110.2,,
2025-11-17 09:09:30,,0.07,,39.1,1.0
2025-11-17 09:09:40,,,46.2,,
2025-11-17 09:09:55,,,,,
2025-11-17 09:10:35,,,39.1,,
2025-11-17 09:11:05,,,,21.0,
2025-11-17 09:11:15,25.1,,115.5,,10.7
2025-11-17 09:11:20,,,,,
2025-11-17 09:11:50,,0.039,,,9.5
2025-11-17 09:12:00,36.9,0.294,,35.2,
2025-11-17 09:12:40,,0.242,53.1,20.1,-7.5
2025-11-17 09:12:50,37.5,,88.0,19.1,-8.3
2025-11-17 09:12:55,,0.176,,,4.3
2025-11-17 09:13:05,31.0,0.254,,,11.3
2025-11-17 09:13:20,40.9,,,,7.1
2025-11-17 09:13:50,,,,10.5,0.0
2025-11-17 09:14:00,,,60.7,,
2025-11-17 09:14:05,,0.093,,19.4,
2025-11-17 09:14:20,,,70.3,17.9,
2025-11-17 09:14:50,,0.238,87.0,44.5,-8.8
2025-11-17 09:15:30,,0.143,,,
2025-11-17 09:16:00,37.5,,106.8,,-2.1
2025-11-17 09:16:40,30.6,0.074,,44.1,
2025-11-17 09:17:00,,0.274,,,6.7
2025-11-17 09:17:15,41.9,,26.8,,-0.1
2025-11-17 09:17:30,,0.158,59.2,,
2025-11-17 09:17:40,25.8,,55.4,,-6.3
2025-11-17 09:18:20,39.7,,,,
2025-11-17 09:18:40,,0.274,,40.6,-1.7
2025-11-17 09:19:10,,0.242,7.5,1.1,-3.2
2025-11-17 09:19:50,,0.103,114.9,7.9,
2025-11-17 09:20:20,,,,,-8.1
2025-11-17 09:20:25,25.8,0.08,11.3,,
2025-11-17 09:21:05,39.5,,28.1,9.1,11.8
2025-11-17 09:21:10,,,,38.1,
2025-11-17 09:21:15,33.6,,,1.0,-5.4
2025-11-17 09:21:20,,,,16.2,-2.4
2025-11-17 09:21:30,34.0,0.034,,24.4,4.3
2025-11-17 09:21:45,43.7,,70.1,18.1,-1.6
2025-11-17 09:22:15,31.9,,21.2,,
2025-11-17 09:22:45,,,19.3,,2.2
2025-11-17 09:23:05,,,90.5,,4.2
2025-11-17 09:23:45,26.0,,69.6,,5.0
2025-11-17 09:24:25,,0.033,,,8.8
2025-11-17 09:24:30,,,22.5,16.2,-6.2
2025-11-17 09:24:35,,,,,13.4
2025-11-17 09:24:45,37.2,,35.1,,-10.0
2025-11-17 09:25:25,29.6,0.295,39.6,44.0,13.7
2025-11-17 09:26:05,,0.164,,30.3,
2025-11-17 09:26:15,,0.01,92.2,25.7,-8.1
2025-11-17 09:26:25,27.6,,,,
2025-11-17 09:26:35,,0.227,80.1,,12.6
2025-11-17 09:27:05,26.8,0.27,64.5,12.8,2.3
2025-11-17 09:27:10,,0.228,,,
2025-11-17 09:27:50,,0.118,93.1,,
2025-11-17 09:28:30,29.0,,63.7,,
2025-11-17 09:28:35,,0.09,,,
2025-11-17 09:28:55,31.9,,,22.5,8.0
2025-11-17 09:29:00,,,37.9,7.0,
2025-11-17 09:29:10,31.3,0.082,105.3,31.0,-0.3
2025-11-17 09:29:40,38.7,,,35.9,
2025-11-17 09:29:45,25.9,,57.6,35.6,7.2
2025-11-17 09:30:25,,0.019,,,-6.2
2025-11-17 09:31:05,38.2,0.001,,14.9,
2025-11-17 09:31:25,31.1,,60.5,,-2.9
2025-11-17 09:31:35,40.9,0.128,,,10.8
2025-11-17 09:32:05,25.6,,,,
2025-11-17 09:32:45,,,33.2,24.4,4.1
2025-11-17 09:33:15,,0.117,15.2,,0.0
2025-11-17 09:33:20,,,,19.7,-5.3
2025-11-17 09:34:00,,0.006,28.5,,
2025-11-17 09:34:15,,,,33.1,1.2
2025-11-17 09:34:35,,0.138,,17.9,
2025-11-17 09:34:40,,0.173,9.8,24.2,
2025-11-17 09:35:00,,0.087,,,-5.6
2025-11-17 09:35:15,37.3,,86.4,25.0,9.7
2025-11-17 09:35:35,34.5,,,40.1,8.5
2025-11-17 09:35:50,,0.206,,,4.1
2025-11-17 09:36:20,26.5,0.043,25.5,29.1,11.9
2025-11-17 09:36:50,,0.14,74.2,,2.1
2025-11-17 09:37:10,,,,,
2025-11-17 09:37:20,,,,,
2025-11-17 09:38:00,38.4,,119.3,,6.5
2025-11-17 09:38:30,,,0.1,,
2025-11-17 09:39:10,39.1,,,41.2,
2025-11-17 09:39:30,,,,43.5,4.8
2025-11-17 09:39:50,35.2,0.169,22.8,,
2025-11-17 09:40:05,,,,33.7,
2025-11-17 09:40:45,,,20.8,3.2,
2025-11-17 09:41:05,34.1,,,,8.7
2025-11-17 09:41:45,,,,,3.6
2025-11-17 09:42:15,34.2,,,38.3,
2025-11-17 09:42:45,,0.089,56.8,2.7,3.8
2025-11-17 09:43:15,35.4,0.155,5.8,,-9.9
2025-11-17 09:43:45,30.3,,98.8,29.3,11.8
2025-11-17 09:44:25,,,,,6.4
2025-11-17 09:44:45,,0.024,54.3,,
2025-11-17 09:45:05,,,95.5,43.3,0.5
2025-11-17 09:45:35,,,91.3,28.9,2.6
2025-11-17 09:45:50,26.7,0.221,,,-0.2
2025-11-17 09:45:55,25.1,,,28.3,9.5
2025-11-17 09:46:35,39.7,0.142,,,14.7
2025-11-17 09:46:50,,,88.7,42.6,0.5
2025-11-17 09:47:30,,0.054,79.4,41.2,9.4
2025-11-17 09:48:10,40.3,,,,
2025-11-17 09:48:20,38.8,0.124,113.2,3.7,5.5
2025-11-17 09:48:30,,,,,14.5
2025-11-17 09:48:45,28.7,,,14.5,-1.2
2025-11-17 09:49:05,,0.073,,,
2025-11-17 09:49:20,,,,8.6,
2025-11-17 09:49:50,,,99.5,,
2025-11-17 09:50:00,29.3,,84.8,35.7,
2025-11-17 09:50:10,,,,34.2,
2025-11-17 09:50:15,43.1,0.283,,9.1,
2025-11-17 09:50:45,31.6,0.13,55.7,,
2025-11-17 09:51:00,,0.048,,3.8,14.9
2025-11-17 09:51:10,,0.009,,,
2025-11-17 09:51:30,34.0,0.277,48.7,20.4,0.7
